state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,Bapatla,750,5,28502,188,28695
"ANDHRA PRADESH",28,GUNTUR,506,292,92331,2992,95615
"ANDHRA PRADESH",28,PRAKASAM,517,79,60277,1190,61546
"ANDHRA PRADESH",28,"SPSR NELLORE",515,119,79568,1546,81233
"ANDHRA PRADESH",28,Tirupati,752,18,51812,334,52164
"ARUNACHAL PRADESH",12,ANJAW,628,0,139,1,140
"ARUNACHAL PRADESH",12,"EAST KAMENG",231,0,432,9,441
"ARUNACHAL PRADESH",12,"KRA DAADI",677,0,230,3,233
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",235,0,803,9,812
"ARUNACHAL PRADESH",12,"PAKKE KESSANG",723,0,89,0,89
"ARUNACHAL PRADESH",12,"SHI YOMI",725,0,73,0,73
"ARUNACHAL PRADESH",12,TIRAP,239,0,250,8,258
ASSAM,18,Biswanath,705,3,14532,108,14643
ASSAM,18,BONGAIGAON,281,16,14475,194,14685
ASSAM,18,CACHAR,282,37,48310,499,48846
ASSAM,18,DHEMAJI,284,3,15511,130,15644
ASSAM,18,GOALPARA,287,7,18337,194,18538
ASSAM,18,HOJAI,709,7,16114,171,16292
ASSAM,18,KOKRAJHAR,294,15,17164,134,17313
BIHAR,10,ARARIA,188,30,34189,493,34712
BIHAR,10,BANKA,190,2,23512,165,23679
BIHAR,10,BHOJPUR,193,13,26837,426,27276
BIHAR,10,DARBHANGA,195,34,45790,548,46372
BIHAR,10,PATNA,212,334,160424,3559,164317
BIHAR,10,"PURBI  CHAMPARAN",213,97,68122,953,69172
BIHAR,10,ROHTAS,215,14,34454,721,35189
BIHAR,10,SAMASTIPUR,217,19,57416,701,58136
CHHATTISGARH,22,BALOD,646,10,12134,138,12282
CHHATTISGARH,22,JASHPUR,380,8,8661,130,8799
CHHATTISGARH,22,NARAYANPUR,637,0,1777,18,1795
CHHATTISGARH,22,SAKTI,762,2,3680,28,3710
CHHATTISGARH,22,"SARANGARH BILAIGARH",763,0,3380,19,3399
GOA,30,"SOUTH GOA",552,60,26139,718,26917
GUJARAT,24,AHMADABAD,438,2261,454980,19238,476479
GUJARAT,24,BHARUCH,442,195,51531,2277,54003
GUJARAT,24,NAVSARI,453,55,32142,690,32887
GUJARAT,24,RAJKOT,457,847,212078,7687,220612
GUJARAT,24,SURAT,459,1633,434811,19672,456116
HARYANA,6,AMBALA,58,81,49682,1315,51078
HARYANA,6,GURUGRAM,62,905,125454,6569,132928
HARYANA,6,JIND,65,49,41746,890,42685
HARYANA,6,KURUKSHETRA,68,45,50927,870,51842
HARYANA,6,YAMUNANAGAR,76,70,52268,1481,53819
"HIMACHAL PRADESH",2,CHAMBA,16,5,9014,88,9107
"HIMACHAL PRADESH",2,SOLAN,25,226,32345,1320,33891
JHARKHAND,20,DHANBAD,325,92,59398,1138,60628
JHARKHAND,20,GIRIDIH,329,17,35915,396,36328
JHARKHAND,20,JAMTARA,333,1,7490,63,7554
JHARKHAND,20,"LOHARDAGA ",336,2,7715,73,7790
KARNATAKA,29,CHITRADURGA,533,34,34907,607,35548
KARNATAKA,29,"DAKSHIN KANNAD",534,163,74792,1845,76800
KARNATAKA,29,SHIVAMOGGA,547,57,53357,943,54357
"MADHYA PRADESH",23,ALIRAJPUR,639,1,7024,79,7104
"MADHYA PRADESH",23,GWALIOR,407,125,76097,1649,77871
"MADHYA PRADESH",23,NIWARI,722,3,3306,59,3368
"MADHYA PRADESH",23,PANNA,420,1,11502,106,11609
"MADHYA PRADESH",23,RATLAM,423,57,45742,757,46556
"MADHYA PRADESH",23,SHIVPURI,432,16,23537,523,24076
MAHARASHTRA,27,DHULE,474,81,51421,799,52301
MAHARASHTRA,27,NANDURBAR,486,25,27504,418,27947
MAHARASHTRA,27,SOLAPUR,496,168,199447,2327,201942
MAHARASHTRA,27,YAVATMAL,500,69,60456,790,61315
MANIPUR,14,"IMPHAL EAST",255,5,22967,144,23116
MANIPUR,14,KAMJONG,717,0,399,0,399
MANIPUR,14,SENAPATI,257,0,3738,20,3758
MANIPUR,14,TENGNOUPAL,716,0,970,0,970
MANIPUR,14,THOUBAL,259,2,11470,56,11528
MEGHALAYA,17,"EAST GARO HILLS",273,0,1638,10,1648
MEGHALAYA,17,"WEST KHASI HILLS",279,1,1278,7,1286
MIZORAM,15,CHAMPHAI,262,0,2169,13,2182
MIZORAM,15,Hnahthial,726,0,371,0,371
MIZORAM,15,SERCHHIP,268,1,1847,5,1853
NAGALAND,13,KOHIMA,245,1,5005,36,5042
NAGALAND,13,Tseminyu,757,0,378,0,378
NAGALAND,13,WOKHA,250,0,1652,8,1660
ODISHA,21,ANGUL,344,52,33672,558,34282
ODISHA,21,BHADRAK,348,25,40963,384,41372
ODISHA,21,CUTTACK,350,119,82666,1652,84437
ODISHA,21,GANJAM,354,46,77430,1053,78529
ODISHA,21,"MALKANGIRI  ",364,1,10749,95,10845
ODISHA,21,NABARANGPUR,366,13,12788,227,13028
ODISHA,21,RAYAGADA,370,4,14828,215,15047
PUNJAB,3,FARIDKOT,29,26,25935,312,26273
PUNJAB,3,JALANDHAR,34,222,119923,2565,122710
PUNJAB,3,PATIALA,41,139,95258,1439,96836
RAJASTHAN,8,ALWAR,87,270,109301,2626,112197
RAJASTHAN,8,Anoopgarh,776,1,4113,18,4132
RAJASTHAN,8,CHITTORGARH,95,47,56756,818,57621
RAJASTHAN,8,DHOLPUR,98,16,14754,257,15027
RAJASTHAN,8,"Didwana Kuchaman",768,4,8249,37,8290
