,pincode,RURAL,URBAN
0,560036.0,753,6310
1,560049.0,1319,5782
2,562106.0,997,4134
3,560068.0,1710,17035
4,560066.0,398,4590
5,561203.0,11315,374
6,560099.0,1593,6487
7,560030.0,122,2327
8,560090.0,679,3685
9,560057.0,352,4286
10,560027.0,186,4268
11,562114.0,6456,420
12,560058.0,888,15405
13,560039.0,153,2686
14,560091.0,1872,22221
15,560076.0,686,10126
16,561210.0,9,2
17,560016.0,530,6961
18,560060.0,845,6528
19,560105.0,1200,4282
20,562123.0,7785,2543
21,562132.0,1033,47
22,560061.0,394,6489
23,560079.0,416,10127
24,562107.0,884,2977
25,562129.0,1574,159
26,562130.0,1209,2986
27,560048.0,308,4242
28,562110.0,4742,276
29,560035.0,339,2929
30,562111.0,2443,111
31,562163.0,83,47
32,560001.0,163,3883
33,560070.0,210,4402
34,560073.0,895,7610
35,560075.0,146,2737
36,560072.0,304,6550
37,560017.0,159,1888
38,562157.0,747,1625
39,560086.0,149,3503
40,562135.0,2407,39
41,560053.0,200,5960
42,560100.0,1354,9362
43,562162.0,898,1981
44,560042.0,43,885
45,560034.0,125,2505
46,560064.0,1240,12909
47,560067.0,2431,3832
48,560089.0,303,911
49,560092.0,229,3786
50,560003.0,135,3698
51,560056.0,355,5489
52,560032.0,392,7620
53,562149.0,582,1712
54,560077.0,510,5978
55,560037.0,456,6504
56,560093.0,95,1484
57,562105.0,94,81
58,562122.0,1724,53
59,561207.0,28,15
60,560096.0,231,3379
61,561202.0,11,9
62,560043.0,605,11227
63,560040.0,210,5259
64,562120.0,96,107
65,560078.0,615,11868
66,561204.0,1035,42
67,560026.0,348,7412
68,562125.0,742,2817
69,560084.0,166,3010
70,560050.0,146,3445
71,560083.0,944,5746
72,560023.0,220,4578
73,560094.0,166,4077
74,560087.0,526,2549
75,561205.0,551,18
76,560021.0,184,5126
77,562101.0,86,39
78,562016.0,5,17
79,563137.0,10,8
80,560013.0,78,1309
81,560069.0,50,1014
82,560005.0,107,1994
83,560062.0,709,7328
84,563117.0,4,3
85,560051.0,72,1457
86,636803.0,1,0
87,561101.0,43,14
88,560015.0,110,1902
89,560045.0,364,5067
90,560022.0,297,4558
91,560082.0,404,2081
92,560098.0,295,4607
93,560085.0,386,7635
94,562158.0,1,4
95,560004.0,115,3723
96,561110.0,1,0
97,562013.0,3,0
98,562102.0,78,20
99,560010.0,232,6913
100,562154.0,1,0
101,560108.0,32,296
102,560054.0,165,3134
103,560008.0,201,3371
104,560097.0,423,6541
105,560074.0,345,1769
106,560002.0,324,8671
107,560020.0,33,1464
108,560125.0,5,4
109,560102.0,303,6723
110,562124.0,11,4
111,562109.0,190,179
112,560041.0,104,2332
113,560014.0,14,170
114,560095.0,79,2004
115,585303.0,1,0
116,560047.0,202,3639
117,510091.0,1,0
118,561208.0,23,17
119,562117.0,100,79
120,560046.0,52,1072
121,560038.0,131,3251
122,572123.0,17,9
123,560081.0,34,188
