,NIC5digitId,BENGALURU (URBAN),Activity
0,01462,313,Production of eggs
1,01463,343,Operation of poultry hatcheries
2,01492,167,Bee-keeping and production of honey and beeswax
3,01493,34,"Raising of silk worms, production of silk worm cocoons"
4,01612,379,Operation of agricultural irrigation equipment
5,01620,312,Support activities for animal production
6,01631,182,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
7,01632,19,"Cotton ginning, cleaning and bailing"
8,01633,3,Preparation of tobacco leaves
9,01639,231,"Other post harvest crop activities, n.e.c."
10,01640,176,Seed processing for propagation
11,05101,48,Opencast mining of hard coal
12,05102,23,Belowground mining of hard coal
13,05103,55,"Cleaning, sizing, grading, pulverizing, compressing etc of coal"
14,05109,51,Other operations relating to mining and agglomeration of hard coal
15,05201,22,Opencast mining of lignite (brown coal)
16,05202,12,Belowground mining of lignite (brown coal)
17,05203,30,"Washing, dehydrating, pulverizing, compressing of lignite"
18,05209,30,Other operations relating to mining and agglomeration of lignite
19,06101,78,Off shore Extraction of crude petroleum
20,06102,41,On shore Extraction of crude petroleum
21,07100,199,Mining of iron ores
22,07210,32,Mining of uranium and thorium ores
23,07291,24,Mining of copper ore
24,07292,42,Mining of aluminium ore (bauxite)
25,07293,11,Mining of manganese ore
26,07294,4,Mining of chromium ore
27,07295,114,"Mining of precious metal ore (gold, silver)"
28,07296,8,Mining of lead and znic ore
29,07299,87,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores]"
30,08101,65,Quarrying of marble
31,08102,240,Quarrying of granite
32,08103,289,Quarrying of slate and building and monumental stone other than marble and granite
33,08104,10,Mining of dolomite
34,08105,13,Mining of gypsum including selenite
35,08106,893,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction"
36,08107,54,"Mining/quarrying of limestone, limeshell, 'kankar' and other calcareous minerals including calcite, chalk and shale"
37,08108,37,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller's earth, fire clay etc. )"
38,08109,18,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
39,08911,6,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur
40,08912,7,Mining of natural phosphates including apatite minerals
41,08913,31,Mining of earth colours (ochre including red oxide).
42,08914,11,Mining of fluorspar
43,08915,7,Mining of barytes
44,08919,34,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.
45,08920,22,Extraction and agglomeration of peat
46,08931,14,"Salt mining, quarrying, screening etc."
47,08932,26,Salt production by evaporation of sea water or other saline waters
48,08991,36,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/saphire etc."
49,08992,38,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum,garnet and other natural abrasives)"
50,08993,15,Mining of mica
51,08994,17,Mining of natural graphite
52,08995,3,Mining of asbestos
53,08996,4,"Mining of vermiculite, perlite and chlorites"
54,08997,67,"Mining of felspar and silica minerals including quartz, quartzite and fuch. Quartzite"
55,08998,9,Mining of talc/ steatite
