,NIC5digitId,RAMANAGARA,Activity
0,01462,8,Production of eggs
1,01463,9,Operation of poultry hatcheries
2,01492,14,Bee-keeping and production of honey and beeswax
3,01493,1,"Raising of silk worms, production of silk worm cocoons"
4,01612,18,Operation of agricultural irrigation equipment
5,01620,14,Support activities for animal production
6,01631,9,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
7,01632,3,"Cotton ginning, cleaning and bailing"
8,01633,1,Preparation of tobacco leaves
9,01639,12,"Other post harvest crop activities, n.e.c."
10,01640,8,Seed processing for propagation
11,05101,5,Opencast mining of hard coal
12,05102,1,Belowground mining of hard coal
13,05103,3,"Cleaning, sizing, grading, pulverizing, compressing etc of coal"
14,05109,2,Other operations relating to mining and agglomeration of hard coal
15,05201,1,Opencast mining of lignite (brown coal)
16,05202,3,Belowground mining of lignite (brown coal)
17,05203,3,"Washing, dehydrating, pulverizing, compressing of lignite"
18,05209,4,Other operations relating to mining and agglomeration of lignite
19,06101,7,Off shore Extraction of crude petroleum
20,06102,4,On shore Extraction of crude petroleum
21,07100,13,Mining of iron ores
22,07210,3,Mining of uranium and thorium ores
23,07291,3,Mining of copper ore
24,07292,6,Mining of aluminium ore (bauxite)
25,07293,0,Mining of manganese ore
26,07294,0,Mining of chromium ore
27,07295,9,"Mining of precious metal ore (gold, silver)"
28,07296,0,Mining of lead and znic ore
29,07299,10,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores]"
30,08101,4,Quarrying of marble
31,08102,15,Quarrying of granite
32,08103,21,Quarrying of slate and building and monumental stone other than marble and granite
33,08104,1,Mining of dolomite
34,08105,1,Mining of gypsum including selenite
35,08106,50,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction"
36,08107,2,"Mining/quarrying of limestone, limeshell, 'kankar' and other calcareous minerals including calcite, chalk and shale"
37,08108,3,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller's earth, fire clay etc. )"
38,08109,0,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
39,08911,1,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur
40,08912,0,Mining of natural phosphates including apatite minerals
41,08913,2,Mining of earth colours (ochre including red oxide).
42,08914,0,Mining of fluorspar
43,08915,1,Mining of barytes
44,08919,1,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.
45,08920,1,Extraction and agglomeration of peat
46,08931,1,"Salt mining, quarrying, screening etc."
47,08932,1,Salt production by evaporation of sea water or other saline waters
